parkType,countryCode,countryName,name,latitude,longitude
botanical_garden,AU,"Australia","Anderson Park, Townsville",-19.2914,146.785
national_park,AU,"Australia","Angourie",-29.8152,153.2679
national_park,AU,"Australia","Annan River (Yuku Baja-Muliku)",-15.5665902,145.2069207
national_park,AU,"Australia","Apsley Gorge",-31.098333333,151.9011111
national_park,AU,"Australia","Apudthama National Park Aboriginal",-11.331,142.606
national_park,AU,"Australia","Arakoon",-30.88,153.07
national_park,AU,"Australia","Arakwal",-28.6603,153.621
botanical_garden,AU,"Australia","Araluen Botanic Park",-32.11877,116.10128
national_park,AU,"Australia","Astrebla Downs",-24.211388888,140.569166666
botanical_garden,AU,"Australia","Atherton Arboretum",-17.2586445,145.4850209
theme_park,AU,"Australia","Atlantis Marine Park",-31.4963,115.586
botanical_garden,AU,"Australia","Auburn",-33.8588,151.017
national_park,AU,"Australia","Auburn River",-25.721666666,151.051944444
theme_park,AU,"Australia","Aussie World",-26.7502,153.047
botanical_garden,AU,"Australia","Australian Arid Lands",-32.4616,137.743
botanical_garden,AU,"Australia","Australian Inland",-34.136,142.139
botanical_garden,AU,"Australia","Australian National",-35.278888888,149.109166666
theme_park,AU,"Australia","Australian Wildlife Experience",-27.8617,153.318
national_park,AU,"Australia","Avon Valley",-31.625,116.183611111
national_park,AU,"Australia","Avon Wilderness Park",-37.6125,146.843
national_park,AU,"Australia","Badgingarra",-30.4686,115.44
national_park,AU,"Australia","Baga",-23.214722222,150.628611111
national_park,AU,"Australia","Bago Bluff",-31.5322,152.629
national_park,AU,"Australia","Bald Rock",-28.848333333,152.0511111
botanical_garden,AU,"Australia","Ballarat",-37.5467,143.822
national_park,AU,"Australia","Ban Ban",-25.834169444,151.963061111
national_park,AU,"Australia","Bangadilly",-34.4642495,150.17701149
national_park,AU,"Australia","Bania",-24.9806596,151.4825372
national_park,AU,"Australia","Barakee",-31.641666666,151.851666666
national_park,AU,"Australia","Barayamal",-29.7901,151.1523
national_park,AU,"Australia","Barmah",-35.866666666,145.118055555
national_park,AU,"Australia","Barnard Island Group",-17.674722222,146.172777777
national_park,AU,"Australia","Barool",-29.660277777,152.1925
botanical_garden,AU,"Australia","Barossa Bushgardens",-34.468988,139.0088599
national_park,AU,"Australia","Barranyi (North Island)",-15.5694,136.869
national_park,AU,"Australia","Barrington Tops",-32.048333333,151.5011111
national_park,AU,"Australia","Barron Gorge",-16.8428,145.652
national_park,AU,"Australia","Basilisk Range",-17.6943897,145.9778132
national_park,AU,"Australia","Basket Swamp",-28.933055555,152.153055555
national_park,AU,"Australia","Batavia National Park Aboriginal",-12.404,142.71
national_park,AU,"Australia","Baw Baw",-37.7639,146.223
theme_park,AU,"Australia","Beach Break Bay",-27.95765,153.425613
national_park,AU,"Australia","Beelu",-31.9544,116.15
national_park,AU,"Australia","Beeron",-26.0064342,151.3145182
national_park,AU,"Australia","Belair",-35.013055555,138.655833333
national_park,AU,"Australia","Belford",-32.64956528,151.29624367
botanical_garden,AU,"Australia","Bellingen Hospital Grounds",-30.4567063,152.89364
national_park,AU,"Australia","Bellinger River",-30.415,152.7011111
national_park,AU,"Australia","Bellthorpe",-26.8918025,152.6790973
national_park,AU,"Australia","Ben Halls Gap",-31.615,151.2177778
national_park,AU,"Australia","Ben Lomond",-41.55,147.666667
botanical_garden,AU,"Australia","Benalla",-36.5533,145.978
national_park,AU,"Australia","Benambra",-35.78606988,147.09560394
national_park,AU,"Australia","Benarkin",-26.760561111,152.170561111
national_park,AU,"Australia","Bendick Murrell",-34.06,148.45
national_park,AU,"Australia","Bendidee",-28.300277777,150.517777777
botanical_garden,AU,"Australia","Bendigo",-36.723972222,144.310083333
botanical_garden,AU,"Australia","Bendora Arboretum",-35.4233,148.797
national_park,AU,"Australia","Beni CCA Zone 3 State Conservation Area",-32.255,148.748
national_park,AU,"Australia","Beninbi",-25.8834597,151.7400064
national_park,AU,"Australia","Beowa",-37.165,150.0011111
national_park,AU,"Australia","Berowra Valley",-33.64,151.09
national_park,AU,"Australia","Biamanga",-36.451111111,149.941944444
national_park,AU,"Australia","Biddon CCA Zone 3 State Conservation Area",-31.603,148.837
theme_park,AU,"Australia","Big Banana",-30.274805555,153.133916666
botanical_garden,AU,"Australia","Big Brook Forest Arboretum",-34.4039134,116.0043392
national_park,AU,"Australia","Big Heath",-37.108019444,140.5732
theme_park,AU,"Australia","Big Splash",-35.251,149.07
theme_park,AU,"Australia","Bigge Park Water Playground",-33.92237,150.92839
national_park,AU,"Australia","Bimberamala",-35.486944444,150.113888888
national_park,AU,"Australia","Bindarri",-30.295,152.933
national_park,AU,"Australia","Bingara CCA Zone 3 State Conservation Area",-29.862,150.482
national_park,AU,"Australia","Bingera",-25.0277748,152.3157947
national_park,AU,"Australia","Biniirr National Park Aboriginal",-15.146,144.96
national_park,AU,"Australia","Binya",-28.8467689,145.6119765
national_park,AU,"Australia","Biriwal Bulga",-31.507222222,152.306388888
national_park,AU,"Australia","Blackbraes",-19.478888888,144.181388888
national_park,AU,"Australia","Blackdown Tableland",-23.7236,149.06
national_park,AU,"Australia","Blackwood",-21.461666666,146.715
national_park,AU,"Australia","Blackwood River",-34.0670547,115.4329705
national_park,AU,"Australia","Bladensburg",-22.6525,143.057222222
national_park,AU,"Australia","Blue Lake",-27.532593,153.477436
national_park,AU,"Australia","Blue Mountains",-33.797222222,150.4452778
botanical_garden,AU,"Australia","Blue Mountains",-33.5391,150.423
national_park,AU,"Australia","Bluff Hill",-21.054851,148.7773749
national_park,AU,"Australia","Bobbiwaa CCA Zone 3 State Conservation Area",-30.14,149.896
national_park,AU,"Australia","Bogong",-36.86375,147.349030555
botanical_garden,AU,"Australia","Bold Park",-31.946,115.771
national_park,AU,"Australia","Bongil Bongil",-30.398611111,153.034722222
botanical_garden,AU,"Australia","Bongil Bongil Garden",-30.1731,152.9913
national_park,AU,"Australia","Booderee",-35.15083333,150.64527778
botanical_garden,AU,"Australia","Booderee",-35.1445908,150.6735325
national_park,AU,"Australia","Boodjamulla (Lawn Hill)",-18.7014,138.488
national_park,AU,"Australia","Boonoo Boonoo",-28.8175,152.178333333
national_park,AU,"Australia","Boorabbin",-31.2383,120.169
national_park,AU,"Australia","Boorara-Gardner",-34.7114879,116.1866723
national_park,AU,"Australia","Booti Booti",-32.281666666,152.5177778
national_park,AU,"Australia","Border Ranges",-28.359722222,152.986111111
botanical_garden,AU,"Australia","Botanic Park",-34.9146,138.611
national_park,AU,"Australia","Bouddi",-33.498333333,151.4177778
national_park,AU,"Australia","Bournda",-36.813379394,149.93470686
national_park,AU,"Australia","Bowling Green Bay",-19.213333333,147.033888888
national_park,AU,"Australia","Boyndaminup",-34.5186912,116.5638349
national_park,AU,"Australia","Brampton Islands",-20.793161111,149.284419444
national_park,AU,"Australia","Breelong CCA Zone 1",-31.8596,148.7379
national_park,AU,"Australia","Bribie Island",-26.867222222,153.126666666
national_park,AU,"Australia","Brindabella",-35.238611111,148.8011111
national_park,AU,"Australia","Brindingabba",-29.094,144.886
botanical_garden,AU,"Australia","Brisbane Botanic Gardens, Mount Coot-tha",-27.4765,152.976
national_park,AU,"Australia","Brisbane Ranges",-37.7953,144.279
national_park,AU,"Australia","Brisbane Water",-33.459444444,151.3011111
national_park,AU,"Australia","Broad Sound Islands",-21.813611111,149.787222222
national_park,AU,"Australia","Broadwater",-29.053888888,153.41
national_park,AU,"Australia","Brockman",-34.5144,115.996
national_park,AU,"Australia","Bromley (Ampulin) National Park Aboriginal",-12.122,142.986
